,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2015-01-29,3,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,送料無料なので。,こちらの商品を使用した事はなく。気にはなっていたのと今回、送料込との事で試に購入をしてみました。商品の使用感想ではない為★３つにしています。
2015-01-20,5,"ゲストさん"" ","
","
","
","
","
","
","送料対策に購入しましたが、　

いつも使ってるお気に入りの商品なので、ちょうど良かったです。　

とにかく香りが良くて、使い心地もいいです。"
2015-01-18,4,"""chocotantanさん"" ",https://review.rakuten.co.jp/my/ZTYwMWExMTkwMTE5/1.0.0.1/,40代 女性,"
","
","
","
",送料対策で購入しましたが、思ったより髪が落ち着いてまとまりやすくなり、好みの仕上がりでした。お店で買うのと変わらない価格でお得に買えたし、良かったです。
2015-01-17,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,嬉しい！,"店頭で、本体ボトルお試しを購入して良かったので､詰め替えを購入しようと思っていたので、送料無料で店頭価格と変わらないので､凄く嬉しい！　

髪の毛ツルツルして、香りも好きです。"
2015-01-16,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",新商品が送料無料でお安く購入できました。ありがとうございます
2015-01-16,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
",今、気に入ってる商品です。送料無料だし、ドラックストア—やスーパーで買うより安いので助かります。泡立ちもいいし、サラサラな感じになるので最高です。
2015-01-15,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,送料対策,"近所のドラックストアより安くて送料込みになる！　

という事で購入しましたが、本体ボトルも可愛かったのでそちらを買えば良かったな。　

注文後の返品交換が出来ないとの事なので、今後はよく確認します。　

商品はまだ届いたばかりで未使用なので、送料込み商品としての評価です。"
2015-01-14,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,助かります。,最近一番のお気に入りです。ツルツルになるし香りも悪くない。その上送料込みなので助かります。
2015-01-13,5,"""happy_happy8646さん"" ",https://review.rakuten.co.jp/my/NjY4MGYxZDAyNGU1MTkxZg__/1.0.0.1/,50代 女性,"
",自分用,リピート,"
","今一番のお気に入りです。　

安く買えて大満足です。"
2015-01-08,3,"""Ｎ322さん"" ",https://review.rakuten.co.jp/my/NWFjZTkyYmU2MTRjMmMxZA__/1.0.0.1/,50代 女性,"
","
","
","
","注文番号：298616-20141202-0442340112　

送料対策に購入しましたが、普通でした。　

50代髪を労わりたい年齢なので、通常使用しているトリートメントと交互に使用しています。 香は悪くないです。"
2015-01-07,5,"""ミミモコさん"" ",https://review.rakuten.co.jp/my/OTUzYTQ3ZDBmOGU1OGY_/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,お勧め,近くのスーパーで、シャンプーとトリートメントのお試しセットを購入し、使用しています。中身がなくなりそうなので購入しました。最近、とても髪のコンディションがよいです。たぶん、髪にとてもよいのだと思い、これからも使いたいと思っています。
2014-12-19,3,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,送料無料目当て,季節的にあれば使うので、送料無料目当てで購入しました。
2014-12-18,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,安い！,薬局で買うよりどこで買うよりも安かったのでまとめ買い！！
2014-12-11,4,"ゲストさん"" ","
","
","
","
","
","
","送料対策。　

まだ未使用ですが、新製品が試せて良いと思います。"
2014-12-10,4,"""himawari1091さん"" ",https://review.rakuten.co.jp/my/YmYzODA4NDgxMDljMzcxZQ__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,まだ使用していませんが・・・,"もう少し残っているので早く使い切りたいです。　

期待をこめて☆４つ　

298616-20141207-0492267122"
2014-12-08,5,"ゲストさん"" ","
","
","
","
","
",試し,"届けが早い。　

正直送料無料のため購入だったけど、トリートメント必要な私にとって、いい試しだとお思う。"
2014-12-07,5,"""☆木漏れ日☆さん"" ",https://review.rakuten.co.jp/my/OWU2NDYwYTI3ZTQxMzMxZg__/1.0.0.1/,50代 男性,"
","
","
","
","詰め替え用。送料対策に購入しました。　

少量で伸びが良く、ツルツルになります。良い香りです。"
2014-12-06,5,"ゲストさん"" ","
","
","
","
","
","
","こちらは送料無料になるので購入&amp;#10017;　

注文後すぐ届くし送料掛かるけど詰替え商品はドラッグストアより安いので助かります&amp;#9787;"
2014-12-04,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
","ドラッグストアでもこのくらいの値段ですが送料無料の為購入。　

香りも良くまとまりサラサラになりこのシリーズも好きです。送料無料にならない詰め替えはお安いと思います。"
