,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2018-06-08,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",購入してから手元に届くまでに時間はかかりましたが、お安くかえたのでストック用にさせていただきます^ ^
2018-06-06,3,"""のりこぉ7338さん"" ",https://review.rakuten.co.jp/my/ZDliYWZlNGQzZTM3MjY_/1.0.0.1/,30代 女性,実用品・普段使い,自分用,リピート,いつもの,大容量ですごく助かってます。リピ予定です。
2018-06-04,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,"
","近所の店では扱ってないサイズで、こまめに買い出ししなくて済むのでとても便利です。　

コンディショナーとセットで購入するので、それなりの重さになりますが、玄関まで届けてくれるので楽です。"
2018-06-03,5,"""やす・ゆきさん"" ",https://review.rakuten.co.jp/my/ZjU5YjU3NGI2NDE1MTY_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,はじめての楽天24,"楽天24の利用は初めてでしたが、クーポンで単品でも送料無料でおトクに注文出来ました。　

このサイズは中々店舗には売ってないし、持って帰るのも重いので、自宅に届くのはとても助かりました。次回はまとめて送料無料になるように注文したいと思います。"
2018-05-30,5,"ゲストさん"" ","
","
","
","
","
","
",大袋は近くに売ってないので、たすかりました。ゴミも減るししまう場所が少しですみます
2018-05-25,4,"""H.A3311さん"" ",https://review.rakuten.co.jp/my/YTY1MzVhYWEwNDIz/1.0.0.1/,30代 女性,実用品・普段使い,男性（彼、夫）へ,リピート,"
",重いので家まで配達してくれるのは助かります。主人のお気に入りらしいのでまたなくなったらリピートします。
2018-05-22,5,"ゲストさん"" ","
","
","
","
","
","
","ここまで大容量のサイズを初めて購入させて頂きました！　

安く購入できて有難いですし、重たいのでネットで購入できて助かります！"
2018-05-20,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","重い物を玄関まで配達してもらうのは助かります。　

コンディショナーとあわせて購入したので送料無料でお得感満載です。"
2018-05-16,5,"""シダレさん"" ",https://review.rakuten.co.jp/my/M2MxYzk1YzAzZmU0NDc_/1.0.0.1/,40代 女性,"
","
","
","
",妹家族に送りました。家族が多い分、御徳用は喜ばれます
2018-05-16,5,"""シダレさん"" ",https://review.rakuten.co.jp/my/M2MxYzk1YzAzZmU0NDc_/1.0.0.1/,40代 女性,"
","
","
","
",妹家族に送りました。家族が多い分、御徳用は喜ばれます
2018-05-16,5,"""シダレさん"" ",https://review.rakuten.co.jp/my/M2MxYzk1YzAzZmU0NDc_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,"
","何回も購入しないくていいのが楽です。　

いつもリンスとセットで購入しています"
2018-05-15,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,初めて。,お得なので買いました。沢山入っているので助かります。配送お願いします。5月17日に届きました。迅速な対応ありがとうございます。
2018-05-09,5,"""M＆M1224さん"" ",https://review.rakuten.co.jp/my/MGI0MzQ4ZTg1NDhjNGExOA__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,大容量！,"こんなにおっきいの見たことありません！　

大変お安い買い物ではないでしょうか(*´ー｀*)　

なくなったらまたリピです"
2018-05-07,5,"""☆misyura☆さん"" ",https://review.rakuten.co.jp/my/NDEwYTVkZjc1NTA5NjYxOQ__/1.0.0.1/,20代 女性,実用品・普段使い,自分用,はじめて,良かった,このサイズのを住んでる付近で見た事無くて買ってすごい楽でした。
2018-05-03,5,"""アクアマトリンさん"" ",https://review.rakuten.co.jp/my/ODk1MzM3MjBhZWIxMzMxYg__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,大満足です！,年齢と共に髪質がゴワゴワしてきていたのですが、この商品のシリーズを使うようになってから、髪質が変わったかのようにツルツルな仕上がりになり、満足しています！
2018-05-03,3,"""しぃ4267さん"" ",https://review.rakuten.co.jp/my/OTFhOGM5OWRmNDc5OWMxMA__/1.0.0.1/,10代 女性,実用品・普段使い,自分用,はじめて,エコつめかえ,大容量つめかえはエコエコエコ&amp;#10071;
2018-04-19,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",近所のストアでは見たことがない特大サイズでお得感があります。
2018-04-17,3,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","お徳用で何回も利用してます　

また利用します"
2018-04-08,4,"ゲストさん"" ","
","
","
","
","
","
",毎日使うものですので，やはり大きいほうがいいように思います。小さい詰め替えは袋に残るものが結局多くなってしまうように思います。
2018-04-08,4,"ゲストさん"" ","
","
","
","
","
",やはり大容量,毎日使うものですので，やはり大きいほうがいいように思います。小さい詰め替えは袋に残るものが結局多くなってしまうように思います。
